ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,-0.1265335864,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1278669224,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1292002584,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1305335944,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1318669304,7.08416666667e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1345336024,6.93111111111e-06,0.333334,1.73028670467e-05,3.99999,4.1411,4.6188,5.65685,7.99999,11.6952,15.4548,23.0351,45.8949,200.0,91.7895,46.0701,30.9096,23.3904,16.0,11.3137,9.23761,8.28222,8.00001
1.0,0.0,-0.1358669384,0.0255215858572,0.333334,-0.000774999902428,3.99999,4.14108,4.61876,5.65677,7.9998,11.6948,15.454,23.0333,45.8877,200.0,91.804,46.0737,30.9112,23.3913,16.0004,11.3139,9.23768,8.28225,8.00001
1.0,0.0,-0.1372002744,0.0270786374285,0.333334,-0.00031054598975,3.99999,4.14109,4.61878,5.65682,7.99991,11.695,15.4545,23.0343,45.8919,200.0,91.7955,46.0716,30.9103,23.3908,16.0002,11.3138,9.23764,8.28223,8.00001
1.0,0.0,-0.1385336104,0.025109129805,0.333334,-0.000228583804199,3.99999,4.14109,4.61878,5.65682,7.99993,11.6951,15.4546,23.0345,45.8927,200.0,91.794,46.0713,30.9101,23.3907,16.0001,11.3138,9.23763,8.28223,8.00001
1.0,0.0,-0.1398669464,0.0270207507145,0.333334,0.000399793333666,3.99999,4.14111,4.61881,5.65689,8.00008,11.6954,15.4552,23.036,45.8985,200.0,91.7825,46.0684,30.9089,23.39,15.9998,11.3136,9.23758,8.2822,8.00001
1.0,0.0,-0.1412002824,0.0248453420207,0.333334,0.000509076438721,3.99999,4.14111,4.61882,5.6569,8.00011,11.6955,15.4553,23.0362,45.8994,200.0,91.7805,46.0679,30.9086,23.3899,15.9998,11.3136,9.23757,8.2822,8.00001
1.0,0.0,-0.1425336184,0.0270407747789,0.333334,0.00113745300363,3.99999,4.14112,4.61885,5.65696,8.00026,11.6958,15.4559,23.0376,45.9052,200.0,91.769,46.065,30.9074,23.3892,15.9995,11.3135,9.2375,8.28217,8.00001
1.0,0.0,-0.1438669544,0.0247280554411,0.333334,0.00124673897347,3.99999,4.14112,4.61885,5.65697,8.00029,11.6959,15.456,23.0379,45.9062,200.0,91.767,46.0645,30.9071,23.3891,15.9994,11.3135,9.23749,8.28217,8.00001
1.0,0.0,-0.1452002904,0.0270251517874,0.333334,0.0019024376038,3.99999,4.14114,4.61888,5.65703,8.00045,11.6963,15.4567,23.0394,45.9122,200.0,91.755,46.0615,30.9058,23.3883,15.9991,11.3133,9.23743,8.28214,8.00001
1.0,0.0,-0.1465336264,0.0781938021495,0.333334,0.00299526292476,3.99999,4.14116,4.61893,5.65714,8.00071,11.6969,15.4578,23.0419,45.9222,200.0,91.735,46.0566,30.9036,23.3871,15.9986,11.3131,9.23733,8.2821,8.00001
1.0,0.0,-0.1478669624,0.245442914736,0.333334,0.00600052969263,3.99999,4.14121,4.61907,5.65744,8.00144,11.6986,15.4608,23.0487,45.9498,200.0,91.6801,46.0429,30.8976,23.3837,15.9971,11.3125,9.23705,8.28198,8.00001
1.0,0.0,-0.1492002984,0.28084398672,0.333334,0.0113281204549,3.99999,4.14132,4.61932,5.65796,8.00273,11.7016,15.4662,23.0609,45.9987,200.0,91.5828,46.0186,30.8869,23.3778,15.9945,11.3115,9.23656,8.28178,8.00001
1.0,0.0,-0.150666968,0.370150124368,0.333334,0.0198248553735,3.99999,4.14148,4.61972,5.6588,8.00479,11.7063,15.4748,23.0803,46.077,200.0,91.4282,45.98,30.8698,23.3682,15.9904,11.3098,9.23577,8.28145,8.00001
1.0,0.0,-0.152000304,0.530089385795,0.333334,0.0297696265278,3.99999,4.14168,4.62018,5.65979,8.00719,11.7119,15.4848,23.1031,46.169,200.0,91.2479,45.9349,30.8498,23.3571,15.9856,11.3078,9.23484,8.28106,8.00001
1.0,0.0,-0.15132556,0.599977949079,0.333314,0.0419819927479,4.00012,4.14204,4.62089,5.66117,8.0104,11.7192,15.4976,23.1319,46.2838,200.0,91.026,45.8789,30.8249,23.3431,15.9795,11.3053,9.23357,8.28047,7.99989
1.0,0.0,-0.145522052,0.680011763794,0.333223,0.0564346812428,4.00067,4.14289,4.6222,5.66338,8.01501,11.7289,15.5144,23.1683,46.4252,200.0,90.7603,45.8105,30.7939,23.3254,15.9714,11.3016,9.23159,8.27934,7.99934
1.0,0.0,-0.145713736,0.795371847181,0.333121,0.0726361515199,4.00128,4.14384,4.62366,5.66585,8.02017,11.7398,15.5332,23.2093,46.5846,200.0,90.4643,45.7341,30.7592,23.3056,15.9624,11.2976,9.22939,8.27808,7.99873
1.0,0.0,-0.147005012,0.905161592499,0.333019,0.0909679361751,4.00189,4.14483,4.62522,5.66853,8.02585,11.752,15.5543,23.2554,46.7652,200.0,90.1325,45.6483,30.7204,23.2834,15.9524,11.2931,9.22698,8.27675,7.99812
1.0,0.0,-0.14829588,0.946919078645,0.332917,0.111594989758,4.0025,4.14586,4.6269,5.67144,8.0321,11.7655,15.5777,23.307,46.9692,200.0,89.7629,45.5527,30.6771,23.2587,15.9413,11.2882,9.22437,8.27532,7.99752
1.0,0.0,-0.149686744,1.0791304127,0.332816,0.134217082383,4.00312,4.14693,4.62866,5.67456,8.03885,11.7801,15.6033,23.3634,47.1943,200.0,89.3616,45.4486,30.6299,23.2319,15.9292,11.2829,9.22157,8.27382,7.99692
1.0,0.0,-0.1508768,1.1760090146,0.332714,0.15875113517,4.00373,4.14805,4.63052,5.67786,8.04608,11.7959,15.6309,23.4247,47.4401,200.0,88.9311,45.3366,30.5792,23.203,15.9163,11.2773,9.2186,8.27225,7.99631
1.0,0.0,-0.152166448,1.27619959156,0.332612,0.190087915859,4.00435,4.1493,4.6327,5.68186,8.05499,11.8156,15.6656,23.5023,47.7557,200.0,88.3888,45.1952,30.5153,23.1667,15.9001,11.2703,9.21501,8.27042,7.99572
1.0,0.0,-0.153556092,1.35952790024,0.332511,0.217872931176,4.00497,4.15047,4.63471,5.6855,8.06304,11.8334,15.6968,23.572,48.0399,200.0,87.9127,45.0701,30.4585,23.1345,15.8856,11.264,9.21175,8.26873,7.99512
